date,open,high,low,close,volume
2015-11-09 07:16:46,461.7,462.55,453.25,454.5,0
2015-11-16 09:00:07,19232.65,19285.75,19104.0,19163.4,0
2015-11-17 09:00:07,19283.45,19289.1,19173.4,19275.9,0
2015-11-18 09:00:06,19294.7,19356.6,19147.35,19182.75,0
2015-11-19 09:00:06,19288.85,19413.35,19248.35,19397.95,0
2015-11-20 09:00:05,19446.7,19600.25,19413.45,19534.75,0
2024-01-29 00:00:00,2621.77,2623.78,2621.12,2623.14,0
2024-01-30 00:00:00,2623.13,2626.38,2623.13,2624.93,0
2024-01-31 00:00:00,2625.44,2628.49,2625.44,2627.8,0
2024-02-01 00:00:00,2628.31,2647.5,2628.31,2643.53,0
2024-02-02 00:00:00,2644.05,2648.17,2644.05,2648.17,0
2024-02-05 00:00:00,2649.7,2649.7,2644.64,2644.64,0
2024-02-06 00:00:00,2645.15,2648.31,2645.15,2645.6,0
2024-02-07 00:00:00,2646.11,2651.24,2646.11,2649.53,0
2024-02-08 00:00:00,2650.04,2654.76,2647.87,2649.05,0
2024-02-09 00:00:00,2649.56,2650.09,2643.46,2643.5,0
2024-02-12 00:00:00,2645.04,2647.82,2645.04,2646.41,0
2024-02-13 00:00:00,2646.92,2647.15,2645.03,2645.45,0
2024-02-14 00:00:00,2645.96,2645.96,2639.97,2643.43,0
2024-02-15 00:00:00,2643.94,2651.89,2643.94,2651.05,0
2024-02-16 00:00:00,2651.56,2653.45,2649.35,2649.35,0
2024-02-19 00:00:00,2651.41,2651.41,2650.89,2650.89,0
2024-02-20 00:00:00,2651.41,2655.58,2651.0,2655.58,0
2024-02-21 00:00:00,2656.09,2659.96,2656.09,2658.29,0
2024-02-22 00:00:00,2658.81,2658.92,2654.89,2656.72,0
2024-02-23 00:00:00,2657.23,2657.34,2654.92,2655.15,0
2024-02-26 00:00:00,2656.7,2660.8,2656.7,2657.9,0
2024-02-27 00:00:00,2658.42,2658.92,2655.04,2657.09,0
2024-02-28 00:00:00,2657.6,2659.13,2657.36,2658.22,0
2024-02-29 00:00:00,2659.26,2660.07,2657.27,2657.27,0
2024-03-01 00:00:00,2657.78,2661.4,2657.56,2661.4,0
2024-03-02 00:00:00,2662.95,2662.95,2661.92,2661.92,0
2024-03-04 00:00:00,2662.95,2664.34,2662.95,2663.03,0
