date,open,high,low,close,volume
2015-01-01 00:00:00,3040.25,3067.55,3033.6,3064.7,0
2015-01-02 00:00:00,3066.9,3115.1,3066.9,3107.1,0
2015-01-05 00:00:00,3117.35,3140.1,3095.2,3102.3,0
2015-01-06 00:00:00,3080.8,3080.8,3003.55,3013.25,0
2015-01-07 00:00:00,3005.45,3022.85,2987.15,3006.35,0
2015-01-08 00:00:00,3036.45,3056.25,3032.75,3052.6,0
2015-01-09 00:00:00,3072.15,3076.65,3001.2,3022.95,0
2015-01-12 00:00:00,3025.35,3040.85,3005.7,3038.85,0
2015-01-13 00:00:00,3051.45,3058.9,3003.25,3010.45,0
2015-01-14 00:00:00,3016.35,3029.55,2997.3,3019.45,0
2015-01-15 00:00:00,3056.0,3114.2,3049.25,3097.15,0
2015-01-16 00:00:00,3094.9,3132.3,3074.8,3122.1,0
2015-01-19 00:00:00,3132.9,3166.7,3131.85,3160.4,0
2015-01-20 00:00:00,3173.55,3186.2,3154.75,3179.05,0
2015-01-21 00:00:00,3185.75,3222.0,3181.7,3219.0,0
2015-01-22 00:00:00,3227.35,3239.6,3210.65,3227.55,0
2015-01-23 00:00:00,3250.0,3308.5,3250.0,3303.15,0
2015-01-27 00:00:00,3315.85,3349.95,3313.6,3343.25,0
2015-01-28 00:00:00,3337.75,3344.55,3257.1,3280.1,0
2015-01-29 00:00:00,3274.7,3310.55,3252.45,3301.2,0
2015-01-30 00:00:00,3316.0,3329.85,3266.65,3294.4,0
2015-02-02 00:00:00,3294.4,3311.75,3285.15,3304.65,0
2015-02-03 00:00:00,3304.65,3322.7,3273.1,3291.0,0
2015-02-04 00:00:00,3292.95,3308.6,3244.1,3251.15,0
2015-02-05 00:00:00,3251.15,3261.4,3172.6,3190.55,0
2015-02-06 00:00:00,3190.55,3200.95,3163.3,3174.1,0
2015-02-09 00:00:00,3174.1,3174.1,3040.0,3057.0,0
2015-02-10 00:00:00,3057.0,3106.25,3015.25,3073.15,0
2015-02-11 00:00:00,3073.15,3129.6,3073.15,3122.45,0
2015-02-12 00:00:00,3122.45,3187.1,3117.5,3178.15,0
2015-02-13 00:00:00,3178.15,3196.95,3168.2,3192.55,0
2015-02-16 00:00:00,3192.55,3215.4,3183.05,3192.8,0
2015-02-18 00:00:00,3192.8,3219.1,3192.8,3210.85,0
2015-02-19 00:00:00,3210.85,3255.2,3183.2,3245.4,0
2015-02-20 00:00:00,3245.4,3264.0,3212.55,3220.45,0
2015-02-23 00:00:00,3220.45,3253.85,3210.4,3218.85,0
2015-02-24 00:00:00,3218.85,3245.4,3213.6,3239.15,0
2015-02-25 00:00:00,3239.15,3265.95,3219.8,3227.25,0
2015-02-26 00:00:00,3227.25,3233.05,3191.0,3211.2,0
2015-02-27 00:00:00,3211.2,3334.3,3211.2,3326.65,0
2015-02-28 00:00:00,3326.65,3376.95,3252.0,3307.05,0
2015-03-02 00:00:00,3307.05,3375.7,3307.05,3371.55,0
