date,open,high,low,close,volume
2015-01-01 00:00:00,4211.88,4211.88,4211.88,4211.88,0
2015-01-02 00:00:00,4242.97,4242.97,4242.97,4242.97,0
2015-01-05 00:00:00,4248.5,4248.5,4248.5,4248.5,0
2015-01-06 00:00:00,4122.56,4122.56,4122.56,4122.56,0
2015-01-07 00:00:00,4122.51,4122.51,4122.51,4122.51,0
2015-01-08 00:00:00,4181.35,4181.35,4181.35,4181.35,0
2015-01-09 00:00:00,4197.54,4197.54,4197.54,4197.54,0
2015-01-12 00:00:00,4204.32,4204.32,4204.32,4204.32,0
2015-01-13 00:00:00,4198.58,4198.58,4198.58,4198.58,0
2015-01-14 00:00:00,4178.93,4178.93,4178.93,4178.93,0
2015-01-15 00:00:00,4231.57,4231.57,4231.57,4231.57,0
2015-01-16 00:00:00,4261.85,4261.85,4261.85,4261.85,0
2015-01-19 00:00:00,4291.13,4291.13,4291.13,4291.13,0
2015-01-20 00:00:00,4317.97,4317.97,4317.97,4317.97,0
2015-01-21 00:00:00,4325.79,4325.79,4325.79,4325.79,0
2015-01-22 00:00:00,4355.34,4355.34,4355.34,4355.34,0
2015-01-23 00:00:00,4384.67,4384.67,4384.67,4384.67,0
2015-01-27 00:00:00,4412.6,4412.6,4412.6,4412.6,0
2015-01-28 00:00:00,4404.2,4404.2,4404.2,4404.2,0
2015-01-29 00:00:00,4439.28,4439.28,4439.28,4439.28,0
2015-01-30 00:00:00,4417.53,4417.53,4417.53,4417.53,0
2015-02-02 00:00:00,4420.58,4420.58,4420.58,4420.58,0
2015-02-03 00:00:00,4420.97,4420.97,4420.97,4420.97,0
2015-02-04 00:00:00,4409.0,4409.0,4409.0,4409.0,0
2015-02-05 00:00:00,4363.51,4363.51,4363.51,4363.51,0
2015-02-06 00:00:00,4280.93,4280.93,4280.93,4280.93,0
2015-02-09 00:00:00,4212.96,4212.96,4212.96,4212.96,0
2015-02-10 00:00:00,4250.03,4250.03,4250.03,4250.03,0
2015-02-11 00:00:00,4307.38,4307.38,4307.38,4307.38,0
2015-02-12 00:00:00,4386.47,4386.47,4386.47,4386.47,0
2015-02-13 00:00:00,4425.14,4425.14,4425.14,4425.14,0
2015-02-16 00:00:00,4414.78,4414.78,4414.78,4414.78,0
2015-02-18 00:00:00,4441.22,4441.22,4441.22,4441.22,0
2015-02-19 00:00:00,4473.2,4473.2,4473.2,4473.2,0
2015-02-20 00:00:00,4483.03,4483.03,4483.03,4483.03,0
2015-02-23 00:00:00,4439.47,4439.47,4439.47,4439.47,0
2015-02-24 00:00:00,4433.07,4433.07,4433.07,4433.07,0
2015-02-25 00:00:00,4419.39,4419.39,4419.39,4419.39,0
2015-02-26 00:00:00,4352.14,4352.14,4352.14,4352.14,0
2015-02-27 00:00:00,4437.0,4437.0,4437.0,4437.0,0
2015-02-28 00:00:00,4462.22,4462.22,4462.22,4462.22,0
2015-03-02 00:00:00,4519.43,4519.43,4519.43,4519.43,0
2015-03-03 00:00:00,4552.2,4552.2,4552.2,4552.2,0
2015-03-04 00:00:00,4521.26,4521.26,4521.26,4521.26,0
2015-03-05 00:00:00,4548.25,4548.25,4548.25,4548.25,0
2015-03-09 00:00:00,4500.17,4500.17,4500.17,4500.17,0
2015-03-10 00:00:00,4493.42,4493.42,4493.42,4493.42,0
2015-03-11 00:00:00,4471.59,4471.59,4471.59,4471.59,0
2015-03-12 00:00:00,4533.55,4533.55,4533.55,4533.55,0
2015-03-13 00:00:00,4452.84,4452.84,4452.84,4452.84,0
2015-03-16 00:00:00,4430.12,4430.12,4430.12,4430.12,0
2015-03-17 00:00:00,4491.57,4491.57,4491.57,4491.57,0
2015-03-18 00:00:00,4484.25,4484.25,4484.25,4484.25,0
2015-03-19 00:00:00,4478.14,4478.14,4478.14,4478.14,0
2015-03-20 00:00:00,4409.76,4409.76,4409.76,4409.76,0
2015-03-23 00:00:00,4396.02,4396.02,4396.02,4396.02,0
2015-03-24 00:00:00,4402.14,4402.14,4402.14,4402.14,0
2015-03-25 00:00:00,4403.28,4403.28,4403.28,4403.28,0
2015-03-26 00:00:00,4338.2,4338.2,4338.2,4338.2,0
2015-03-27 00:00:00,4340.1,4340.1,4340.1,4340.1,0
2015-03-30 00:00:00,4403.01,4403.01,4403.01,4403.01,0
