idx,signal,price,portfolio
54,buy,17920.474609375,82180.9140625
54,sell,17926.50390625,100107.41796875
55,buy,17927.826171875,82179.591796875
55,sell,17940.947265625,100120.5390625
56,buy,17928.1328125,82192.40625
56,sell,17932.720703125,100125.126953125
57,buy,17935.267578125,82189.859375
57,sell,17946.416015625,100136.275390625
59,buy,17979.158203125,82157.1171875
59,sell,17979.158203125,100136.275390625
60,buy,17989.400390625,82146.875
60,sell,17994.7265625,100141.6015625
61,buy,18001.259765625,82140.341796875
61,sell,18008.732421875,100149.07421875
62,buy,18014.275390625,82134.798828125
62,sell,18017.89453125,100152.693359375
63,buy,18006.546875,82146.146484375
63,sell,18011.716796875,100157.86328125
64,buy,18012.53125,82145.33203125
64,sell,18019.81640625,100165.1484375
65,buy,18024.220703125,82140.927734375
65,sell,18028.400390625,100169.328125
66,buy,18037.017578125,82132.310546875
66,sell,18044.1640625,100176.474609375
67,buy,18074.189453125,82102.28515625
67,sell,18074.189453125,100176.474609375
68,buy,18064.07421875,82112.400390625
68,sell,18076.068359375,100188.46875
70,buy,18088.173828125,82100.294921875
70,sell,18088.173828125,100188.46875
71,buy,18075.171875,82113.296875
71,sell,18096.451171875,100209.748046875
72,buy,18058.896484375,82150.8515625
72,sell,18069.490234375,100220.341796875
73,buy,18038.32421875,82182.017578125
73,sell,18040.931640625,100222.94921875
74,buy,18027.083984375,82195.865234375
74,sell,18043.732421875,100239.59765625
75,buy,18015.16796875,82224.4296875
75,sell,18032.111328125,100256.541015625
76,buy,18007.236328125,82249.3046875
76,sell,18021.91796875,100271.22265625
77,buy,18003.78125,82267.44140625
77,sell,18015.916015625,100283.357421875
78,buy,17994.37890625,82288.978515625
78,sell,18001.052734375,100290.03125
79,buy,18000.744140625,82289.287109375
79,sell,18001.802734375,100291.08984375
81,buy,17998.326171875,82292.763671875
81,sell,18009.763671875,100302.52734375
82,buy,18009.525390625,82293.001953125
82,sell,18017.6875,100310.689453125
83,buy,18012.802734375,82297.88671875
83,sell,18017.712890625,100315.599609375
