ID,Action,Price,Amount
70,sell,20566.404533420504,109015.42612020073
71,sell,20566.808730195462,109142.65068760661
72,sell,20586.296694637833,109271.74730690566
73,sell,20590.33073696047,109400.8452471092
74,sell,20585.4612225458,109528.98751291182
75,sell,20593.759474799037,109657.42731245156
76,sell,20597.41210594922,109787.24976876969
77,sell,20611.454641617835,109917.1580838799
78,sell,20592.502964399755,110045.83366487171
79,sell,20574.411526232958,110175.9371436208
80,sell,20577.64543065876,110304.42053300883
81,sell,20586.144130168854,110433.80444903517
82,sell,20591.671124795077,110562.37105540627
83,sell,20596.62814913243,110689.94500205065
84,sell,20603.54374460727,110819.51483538444
85,sell,20599.182117970286,110948.08540446902
86,sell,20623.100726309418,111076.94194937641
87,sell,20633.79972247928,111207.2491776436
88,sell,20632.596378485858,111337.75685316767
89,sell,20653.26622222364,111468.14300547834
90,sell,20686.84691670537,111598.03414883013
91,sell,20682.337348765133,111727.16544187214
92,sell,20699.383951477706,111857.46870742585
93,sell,20697.602711768446,111989.45348439958
94,sell,20680.543230237065,112121.99634352174
95,sell,20673.231363414227,112254.84301067737
96,sell,20672.532935163377,112384.44586662349
97,sell,20676.582167887686,112515.93728576895
98,sell,20661.80091638118,112646.20488690134
100,sell,20679.52811513394,112776.10362545396
101,sell,20676.476825754344,112907.67363841679
102,sell,20672.21889012009,113036.66128309515
103,sell,20676.344074852765,113164.40265438404
104,sell,20680.495677675306,113293.8770523682
105,sell,20675.567383010686,113424.58385424463
112,sell,20632.46891120225,113553.68938964901
113,sell,20620.59728206843,113683.85726249215
114,sell,20617.6813853994,113814.2529913604
115,sell,20598.70791325718,113940.62524514196
116,sell,20598.03821467906,114069.50061293838
117,sell,20599.78775268048,114197.18254352508
118,sell,20599.40931354314,114327.17572674897
119,sell,20609.63311432153,114455.3675264701
120,sell,20678.653676359354,114584.7237035021
121,sell,20675.67899944037,114714.26480716316
122,sell,20681.335112480818,114844.74111120548
123,sell,20715.411806599794,114975.77351603951
124,sell,20712.365140385926,115106.63387306329
125,sell,20716.636285065113,115238.32276743051
126,sell,20749.990114200114,115370.58361344335
127,sell,20748.883196234703,115503.26351640669
129,sell,20753.908577379585,115636.42654018846
130,sell,20771.536708295345,115770.10174468753
131,sell,20776.303852611778,115902.75027616916
132,sell,20783.314553210137,116035.50877294985
133,sell,20783.089338994025,116167.49784286317
175,sell,20884.458191621303,116304.07540476021
179,sell,20843.275691780447,116439.60218713281
185,sell,20796.13062905669,116570.57647216914
